gpstime,rostime,distance,position_error,iou,heading_error,speed_error
1730117632.22,1730117614.1610034,7.092470106656044,1.6760333825209808,0.23527375208543247,174.68077959331748,0.2520584183239544
1730117632.24,1730117614.1808226,7.10019771438541,,,,
1730117632.26,1730117614.2010252,7.10795774256959,,,,
1730117632.28,1730117614.2210724,7.116058063330404,,,,
1730117632.3,1730117614.241466,7.124152452435895,,,,
1730117632.32,1730117614.2609298,7.1326828634931045,1.5984724975680027,0.24883745023894108,177.12643265104987,0.20129866907202842
1730117632.34,1730117614.2809408,7.141106205119474,,,,
1730117632.36,1730117614.3011372,7.150037355446739,,,,
1730117632.38,1730117614.3210244,7.16121611723418,,,,
1730117632.4,1730117614.3415005,7.168301702836268,,,,
1730117632.42,1730117614.3610742,7.177504009611169,1.6810277837412273,0.24660845251625546,177.81113982324652,0.17847806036008207
1730117632.44,1730117614.3810432,7.187423774006132,,,,
1730117632.46,1730117614.4010522,7.197205477103334,,,,
1730117632.48,1730117614.4210608,7.207529010571897,,,,
1730117632.5,1730117614.441689,7.217944946188625,,,,
1730117632.52,1730117614.4609208,7.228686417855752,1.5985548546678552,0.25354027913165017,176.26456036741183,0.06064524472514998
1730117632.54,1730117614.4808178,7.239817026671897,,,,
1730117632.56,1730117614.500898,7.251024724036376,,,,
1730117632.58,1730117614.5211527,7.262756231642176,,,,
1730117632.6,1730117614.5420575,7.274663029225336,,,,
1730117632.62,1730117614.5611553,7.286916836123682,1.5491181834032264,0.2552063214081828,179.27638616615917,0.042068353688285764
1730117632.64,1730117614.5809207,7.2995193661634605,,,,
1730117632.66,1730117614.6010244,7.3123810229563215,,,,
1730117632.68,1730117614.6210248,7.325669233021974,,,,
1730117632.7,1730117614.6415424,7.339175922006931,,,,
1730117632.72,1730117614.6607432,7.353093732670769,1.5756204284646977,0.26036083851014113,178.54577289085233,0.018924499987692966
1730117632.74,1730117614.6808436,7.367302425165785,,,,
1730117632.76,1730117614.7010708,7.381912760353939,,,,
1730117632.78,1730117614.7207875,7.396827822498231,,,,
1730117632.8,1730117614.7414973,7.4121821917785855,,,,
1730117632.82,1730117614.7609537,7.427825339750636,1.566762635774956,0.27379165011072304,177.08509841378725,0.10434405644131284
1730117632.84,1730117614.7808843,7.443831812931141,,,,
1730117632.86,1730117614.8009682,7.460237488138732,,,,
1730117632.88,1730117614.8208036,7.481314119413717,,,,
1730117632.9,1730117614.8414714,7.494141188948406,,,,
1730117632.92,1730117614.8608515,7.5116861690664285,1.5594937704776253,0.2647319100678188,177.44194342696142,0.18052790692958232
1730117632.94,1730117614.8808775,7.529575823719864,,,,
1730117632.96,1730117614.9009151,7.547761782228733,,,,
1730117632.98,1730117614.9209502,7.566234119613658,,,,
1730117633.0,1730117614.9432876,7.585105333241036,,,,
1730117633.02,1730117614.960708,7.604098853374882,1.639315085987957,0.26129391627843124,177.4555010260187,0.26044854688800845
1730117633.04,1730117614.980785,7.623384068232774,,,,
1730117633.06,1730117615.0009444,7.642753977575151,,,,
1730117633.08,1730117615.0209224,7.662326910537772,,,,
1730117633.1,1730117615.0414982,7.681717056711737,,,,
1730117633.12,1730117615.0606503,7.701376569440201,1.5227890234501797,0.2672689130073995,179.30579142889047,0.3027831004241115
1730117633.14,1730117615.0807598,7.720899536804982,,,,
1730117633.16,1730117615.1006324,7.740419175178452,,,,
1730117633.18,1730117615.1206896,7.759872053300849,,,,
1730117633.2,1730117615.1418092,7.779160318579669,,,,
